id,code,name
l10n_pe_economic_activity_5021,5021,Transporte de pasajeros por vías de navegación interiores
l10n_pe_economic_activity_5022,5022,Transporte de carga, por vías de navegación interiores
l10n_pe_economic_activity_5110,5110,Transporte de pasajeros por vía aérea
l10n_pe_economic_activity_5120,5120,Transporte de carga por vía aérea
l10n_pe_economic_activity_5210,5210,Almacenamiento y depósito
l10n_pe_economic_activity_5221,5221,Actividades de servicios vinculadas al transporte terrestre
l10n_pe_economic_activity_5222,5222,Actividades de servicios vinculadas al transporte acuático
l10n_pe_economic_activity_5223,5223,Actividades de servicios vinculadas al transporte aéreo
l10n_pe_economic_activity_5224,5224,Manipulación de carga
l10n_pe_economic_activity_5229,5229,Otras actividades de apoyo al transporte
l10n_pe_economic_activity_5310,5310,Actividades postales
l10n_pe_economic_activity_5320,5320,Actividades de mensajería
l10n_pe_economic_activity_5510,5510,Actividades de alojamiento para estancias cortas
l10n_pe_economic_activity_5520,5520,Actividades de campamentos, parques de vehículos recreativos y parques de caravanas
l10n_pe_economic_activity_5590,5590,Otras actividades de alojamiento
l10n_pe_economic_activity_5610,5610,Actividades de restaurantes y de servicio móvil de comidas
l10n_pe_economic_activity_5621,5621,Suministro de comidas por encargo
l10n_pe_economic_activity_5629,5629,Otras actividades de servicio de comidas
l10n_pe_economic_activity_5630,5630,Actividades de servicio de bebidas
l10n_pe_economic_activity_5811,5811,Edición de libros
l10n_pe_economic_activity_5812,5812,Edición de directorios y listas de correo
l10n_pe_economic_activity_5813,5813,Edición de periódicos, revistas y otras publicaciones periódicas
l10n_pe_economic_activity_5819,5819,Otras actividades de edición
l10n_pe_economic_activity_5820,5820,Edición de programas de informáticos
l10n_pe_economic_activity_5911,5911,Actividades de producción de películas cinematográficas, vídeos y programas de televisión
l10n_pe_economic_activity_5912,5912,Actividades de postproducción de películas cinematográficas, vídeos y programas de televisión
l10n_pe_economic_activity_5913,5913,Actividades de distribución de películas cinematográficas, vídeos y programas de televisión
l10n_pe_economic_activity_5914,5914,Actividades de exhibición de películas cinematográficas y cintas de vídeo
l10n_pe_economic_activity_5920,5920,Actividades de grabación de sonido y edición de música
l10n_pe_economic_activity_6010,6010,Transmisiones de radio
l10n_pe_economic_activity_6020,6020,Programación y transmisiones de televisión
l10n_pe_economic_activity_6110,6110,Actividades de telecomunicaciones alámbricas
l10n_pe_economic_activity_6120,6120,Actividades de telecomunicaciones inalámbricas
l10n_pe_economic_activity_6130,6130,Actividades de telecomunicaciones por satélite.
l10n_pe_economic_activity_6190,6190,Otras actividades de telecomunicación.
l10n_pe_economic_activity_6201,6201,Programación informática
l10n_pe_economic_activity_6202,6202,Consultoría de informática y de gestión de instalaciones informáticas
l10n_pe_economic_activity_6209,6209,Otras actividades de tecnología de la información y de servicios informáticos
l10n_pe_economic_activity_6311,6311,Procesamiento de datos, hospedaje y actividades conexas
l10n_pe_economic_activity_6312,6312,Portales web
l10n_pe_economic_activity_6391,6391,Actividades de agencias de noticias
l10n_pe_economic_activity_6399,6399,Otras actividades de servicios de información n.c.p.
l10n_pe_economic_activity_6411,6411,Banca central
l10n_pe_economic_activity_6419,6419,Otros tipos de intermediación monetaria.
l10n_pe_economic_activity_6420,6420,Actividades de sociedades de cartera
l10n_pe_economic_activity_6430,6430,Fondos y sociedades de inversión y entidades financieras similares
l10n_pe_economic_activity_6491,6491,Arrendamiento financiero
l10n_pe_economic_activity_6492,6492,Otras actividades de concesión de crédito
l10n_pe_economic_activity_6499,6499,Otras actividades de servicios financieros, excepto las de seguros y fondos de pensiones, n.c.p.
l10n_pe_economic_activity_6511,6511,Seguros de vida
l10n_pe_economic_activity_6512,6512,Seguros generales
l10n_pe_economic_activity_6520,6520,Reaseguros
l10n_pe_economic_activity_6530,6530,Fondos de pensiones
l10n_pe_economic_activity_6611,6611,Administración de mercados financieros
l10n_pe_economic_activity_6612,6612,Corretaje de valores y de contratos de productos básicos
l10n_pe_economic_activity_6619,6619,Otras actividades auxiliares de las actividades de servicios financieros
l10n_pe_economic_activity_6621,6621,Evaluación de riesgos y daños
l10n_pe_economic_activity_6622,6622,Actividades de agentes y corredores de seguros
l10n_pe_economic_activity_6629,6629,Otras actividades auxiliares de las actividades de seguros y fondos de pensiones
l10n_pe_economic_activity_6630,6630,Actividades de gestión de fondos
l10n_pe_economic_activity_6810,6810,Actividades inmobiliarias realizadas con bienes propios o arrendados
l10n_pe_economic_activity_6820,6820,Actividades inmobiliarias realizadas a cambio de una retribución o por contrata
l10n_pe_economic_activity_6910,6910,Actividades jurídicas
l10n_pe_economic_activity_6920,6920,Actividades de contabilidad, teneduría de libros y auditoría; consultoría fiscal
l10n_pe_economic_activity_7010,7010,Actividades de oficinas centrales
l10n_pe_economic_activity_7020,7020,Actividades de consultoría de gestión
l10n_pe_economic_activity_7110,7110,Actividades de arquitectura e ingeniería y actividades conexas de consultoría técnica
l10n_pe_economic_activity_7120,7120,Ensayos y análisis técnicos
l10n_pe_economic_activity_7210,7210,Investigación y desarrollo experimental en el campo de las ciencias naturales y la ingeniería
l10n_pe_economic_activity_7220,7220,Investigación y desarrollo experimental en el campo de las ciencias sociales y las humanidades
l10n_pe_economic_activity_7310,7310,Publicidad
l10n_pe_economic_activity_7320,7320,Estudios de mercado y encuestas de opinión pública
l10n_pe_economic_activity_7410,7410,Actividades especializadas de diseño
l10n_pe_economic_activity_7420,7420,Actividades de fotografía
l10n_pe_economic_activity_7490,7490,Otras actividades profesionales, científicas y técnicas n.c.p.
l10n_pe_economic_activity_7500,7500,Actividades veterinarias
l10n_pe_economic_activity_7710,7710,Alquiler y arrendamiento de vehículos automotores
l10n_pe_economic_activity_7721,7721,Alquiler y arrendamiento de equipo recreativo y deportivo
l10n_pe_economic_activity_7722,7722,Alquiler de cintas de vídeo y discos
l10n_pe_economic_activity_7729,7729,Alquiler y arrendamiento de otros efectos personales y enseres domésticos
l10n_pe_economic_activity_7730,7730,Alquiler y arrendamiento de otros tipos de maquinaria, equipo y bienes tangibles
l10n_pe_economic_activity_7740,7740,Arrendamiento de propiedad intelectual y productos similares, excepto obras protegidas por derechos de autor
l10n_pe_economic_activity_7810,7810,Actividades de agencias de empleo
l10n_pe_economic_activity_7820,7820,Actividades de agencias de empleo temporal
l10n_pe_economic_activity_7830,7830,Otras actividades de dotación de recursos humanos
